Size,Time
0,0.000000060
1,0.000000341
2,0.000000371
3,0.000000381
4,0.000000681
5,0.000000692
400000,0.000304868
5000,0.000002785
10,0.000000811
15,0.000000240
400,0.000000281
10000,0.000004528
250000,0.000193019
20,0.000000621
4500,0.000002124
150,0.000001212
15000,0.000006432
25,0.000000360
30,0.000000451
4000,0.000001874
20000,0.000007604
100000,0.000067445
35,0.000000521
500000,0.000462051
40,0.000000831
25000,0.000017933
300,0.000000240
3500,0.000001683
45,0.000000611
30000,0.000011471
50,0.000000651
350000,0.000250136
3000,0.000001473
35000,0.000013224
40000,0.000020197
450,0.000000261
200000,0.000100287
2500,0.000001443
200,0.000002414
45000,0.000021681
1000000,0.000765977
2000,0.000001192
50000,0.000029045
450000,0.000463043
1500,0.000000761
350,0.000000230
100,0.000001092
300000,0.000207426
1000,0.000000561
150000,0.000088044
500,0.000000371
250,0.000018404
