Size,Time
1,0.000001673
80000,0.003477118
2,0.000001663
3,0.000003467
4,0.000002625
900,0.000039894
5,0.000002325
6,0.000014598
400000,0.018822259
7,0.000000792
8,0.000001071
5000,0.000236331
9,0.000001453
10,0.000001322
800000,0.039426770
400,0.000018405
10000,0.000480636
90000,0.005257105
20,0.000002375
30,0.000003456
2000000,0.102443182
800,0.000039162
4000,0.000208860
20000,0.000779322
100000,0.004359683
500000,0.024076971
40,0.000001633
9000,0.000328232
300,0.000014737
900000,0.044943488
30000,0.001188785
50,0.000002114
3000,0.000138047
60,0.000002545
700,0.000030336
8000,0.000373115
40000,0.001723661
200000,0.008886888
70,0.000003126
200,0.000010910
600000,0.029059964
1000000,0.049264670
80,0.000002966
2000,0.000097061
50000,0.002092969
600,0.000020989
7000,0.000341697
90,0.000004158
60000,0.002530746
100,0.000004749
300000,0.013721286
1000,0.000034775
700000,0.034215390
6000,0.000306070
70000,0.003418700
500,0.000024635
