Size,Time
1,0.000000962
80000,0.003441452
2,0.000001704
3,0.000001683
4,0.000001683
900,0.000032610
5,0.000002173
6,0.000001022
400000,0.019063540
7,0.000000732
8,0.000001212
5000,0.000276996
9,0.000001232
10,0.000001503
800000,0.039775670
400,0.000021420
10000,0.000434420
90000,0.003892853
20,0.000006081
30,0.000001693
2000000,0.102043147
800,0.000038873
4000,0.000195254
20000,0.000784853
100000,0.004243977
500000,0.024523172
40,0.000002234
9000,0.000366754
300,0.000011782
900000,0.044915516
30000,0.001204454
50,0.000002104
3000,0.000145531
60,0.000002945
700,0.000032621
8000,0.000392341
40000,0.001647429
200000,0.009052417
70,0.000003698
200,0.000009327
600000,0.029054524
1000000,0.049241717
80,0.000003777
2000,0.000090198
50000,0.002093731
600,0.000027892
7000,0.000295090
90,0.000004299
60000,0.002596127
100,0.000004849
300000,0.015933237
1000,0.000043521
700000,0.038503600
6000,0.000223417
70000,0.002948012
500,0.000023233
