Size,Time
1,0.000000661
80000,0.000040485
2,0.000001012
3,0.000000421
4,0.000000500
900,0.000000452
5,0.000000621
6,0.000000511
400000,0.000265745
7,0.000000521
8,0.000000731
5000,0.000002485
9,0.000000691
10,0.000000742
800000,0.000590170
400,0.000004418
10000,0.000004158
90000,0.000053028
20,0.000001583
30,0.000000461
2000000,0.001589892
800,0.000000511
4000,0.000002365
20000,0.000008176
100000,0.000054522
500000,0.000360462
40,0.000000541
9000,0.000004068
300,0.000002334
900000,0.000934662
30000,0.000011541
50,0.000000481
3000,0.000001793
60,0.000000742
700,0.000000471
8000,0.000005380
40000,0.000014938
200000,0.000131846
70,0.000000841
200,0.000002234
600000,0.000429140
1000000,0.000852358
80,0.000001042
2000,0.000001934
50000,0.000032220
600,0.000000400
7000,0.000005801
90,0.000001082
60000,0.000022773
100,0.000001142
300000,0.000259483
1000,0.000000562
700000,0.000585321
6000,0.000002695
70000,0.000038923
500,0.000000371
