Size,Time
1,0.000000651
80000,0.000064730
2,0.000000922
3,0.000001673
4,0.000000470
900,0.000000551
5,0.000000621
6,0.000000541
400000,0.000303245
7,0.000000521
8,0.000000801
5000,0.000002003
9,0.000000692
10,0.000000851
800000,0.000676330
400,0.000004078
10000,0.000004649
90000,0.000150520
20,0.000001262
30,0.000045214
2000000,0.001526194
800,0.000000521
4000,0.000002114
20000,0.000008796
100000,0.000071023
500000,0.000366422
40,0.000000411
9000,0.000004087
300,0.000003126
900000,0.000837040
30000,0.000012062
50,0.000000531
3000,0.000001723
60,0.000000571
700,0.000000501
8000,0.000003667
40000,0.000027512
200000,0.000169315
70,0.000000922
200,0.000002235
600000,0.000486025
1000000,0.000932107
80,0.000000781
2000,0.000001032
50000,0.000019396
600,0.000000301
7000,0.000003677
90,0.000001072
60000,0.000032170
100,0.000001143
300000,0.000208379
1000,0.000000571
700000,0.000586994
6000,0.000003096
70000,0.000046557
500,0.000007063
