Size,Time
1,0.000000701
80000,0.003438056
2,0.000001573
3,0.000003066
4,0.000002344
900,0.000039293
5,0.000002525
6,0.000000901
400000,0.018983771
7,0.000000852
8,0.000001012
5000,0.000224228
9,0.000001272
10,0.000001573
800000,0.043671519
400,0.000020689
10000,0.000363938
90000,0.004002928
20,0.000002344
30,0.000001703
2000000,0.106816985
800,0.000036177
4000,0.000198540
20000,0.000812264
100000,0.004324979
500000,0.024552185
40,0.000002044
9000,0.000430061
300,0.000011651
900000,0.044052509
30000,0.001223229
50,0.000002445
3000,0.000106018
60,0.000003406
700,0.000033102
8000,0.000323613
40000,0.002228462
200000,0.008964402
70,0.000003256
200,0.000009758
600000,0.029182977
1000000,0.049330476
80,0.000002936
2000,0.000095608
50000,0.002078623
600,0.000028182
7000,0.000292855
90,0.000004348
60000,0.004450289
100,0.000004698
300000,0.014376747
1000,0.000046157
700000,0.034586031
6000,0.000272729
70000,0.002979832
500,0.000024846
