Size,Time
1,0.000001062
80000,0.003461289
2,0.000001703
3,0.000001904
4,0.000001863
900,0.000039363
5,0.000001873
6,0.000000912
400000,0.019015510
7,0.000001032
8,0.000001002
5000,0.000252460
9,0.000001423
10,0.000001073
800000,0.039194347
400,0.000021339
10000,0.000371592
90000,0.004647719
20,0.000002395
30,0.000001603
2000000,0.102927995
800,0.000036188
4000,0.000187830
20000,0.000785584
100000,0.005893050
500000,0.024031325
40,0.000002054
9000,0.000461230
300,0.000015048
900000,0.043851464
30000,0.001204213
50,0.000002945
3000,0.000146904
60,0.000002665
700,0.000030026
8000,0.000382092
40000,0.001643853
200000,0.009480625
70,0.000003427
200,0.000008796
600000,0.029296545
1000000,0.051418944
80,0.000010710
2000,0.000090489
50000,0.002093500
600,0.000025837
7000,0.000351304
90,0.000003366
60000,0.002580738
100,0.000003677
300000,0.017203373
1000,0.000044172
700000,0.035594029
6000,0.000281074
70000,0.005597349
500,0.000026539
