Size,Time
1,0.000000712
80000,0.000058108
2,0.000001132
3,0.000000421
4,0.000000411
900,0.000000601
5,0.000000521
6,0.000000551
400000,0.000297625
7,0.000000621
8,0.000000601
5000,0.000003035
9,0.000000721
10,0.000000721
800000,0.000600468
400,0.000005209
10000,0.000004338
90000,0.000110786
20,0.000001282
30,0.000000421
2000000,0.001454720
800,0.000000471
4000,0.000002404
20000,0.000009979
100000,0.000092292
500000,0.000367665
40,0.000000481
9000,0.000004618
300,0.000002905
900000,0.000882936
30000,0.000012694
50,0.000000681
3000,0.000001894
60,0.000000691
700,0.000000430
8000,0.000003988
40000,0.000014897
200000,0.000163796
70,0.000000841
200,0.000002224
600000,0.000446232
1000000,0.001266189
80,0.000000972
2000,0.000001092
50000,0.000027080
600,0.000000370
7000,0.000004348
90,0.000000772
60000,0.000030667
100,0.000000942
300000,0.000217936
1000,0.000000541
700000,0.000539635
6000,0.000002675
70000,0.000059982
500,0.000005490
