Size,Time
1,0.000000651
80000,0.000116668
2,0.000001092
3,0.000002074
4,0.000000571
900,0.000000612
5,0.000000461
6,0.000000641
400000,0.000299838
7,0.000000681
8,0.000000491
5000,0.000002444
9,0.000000851
10,0.000000821
800000,0.000792506
400,0.000004709
10000,0.000004388
90000,0.000104795
20,0.000001292
30,0.000000440
2000000,0.002074184
800,0.000000491
4000,0.000003326
20000,0.000016461
100000,0.000064480
500000,0.000362706
40,0.000000541
9000,0.000004398
300,0.000002335
900000,0.000949750
30000,0.000013284
50,0.000000601
3000,0.000001393
60,0.000000762
700,0.000000451
8000,0.000003666
40000,0.000027040
200000,0.000144980
70,0.000000821
200,0.000002234
600000,0.000532341
1000000,0.001091794
80,0.000000771
2000,0.000001423
50000,0.000019686
600,0.000000390
7000,0.000003447
90,0.000001142
60000,0.000046867
100,0.000001122
300000,0.000213929
1000,0.000000631
700000,0.000547339
6000,0.000003376
70000,0.000027782
500,0.000007013
