Size,Time
0,0.000000240
1,0.000001052
2,0.000000862
3,0.000000591
4,0.000000862
5,0.000000952
400000,0.019048271
5000,0.000249455
10,0.000001252
15,0.000000772
400,0.000018455
10000,0.000472370
250000,0.011456045
20,0.000000792
4500,0.000222344
150,0.000007104
15000,0.000723087
25,0.000001522
30,0.000001613
4000,0.000147154
20000,0.001008339
100000,0.004349083
35,0.000001693
500000,0.023553565
40,0.000002004
25000,0.000999612
300,0.000012123
3500,0.000158405
45,0.000002134
30000,0.001208451
50,0.000002214
350000,0.016547812
3000,0.000134390
35000,0.001559626
40000,0.002000828
450,0.000019446
200000,0.009190664
2500,0.000089537
200,0.000007644
45000,0.001897255
1000000,0.049105895
2000,0.000097581
50000,0.002063906
450000,0.021096226
1500,0.000067235
350,0.000014587
100,0.000004779
300000,0.013891162
1000,0.000048561
150000,0.006618241
500,0.000022041
250,0.000011511
