Size,Time
0,0.000000160
1,0.000000691
2,0.000000311
3,0.000000291
4,0.000000501
5,0.000000551
400000,0.000296974
5000,0.000002745
10,0.000000952
15,0.000000271
400,0.000000280
10000,0.000005660
250000,0.000173132
20,0.000000250
4500,0.000002264
150,0.000001633
15000,0.000006692
25,0.000000410
30,0.000000451
4000,0.000002194
20000,0.000007835
100000,0.000069700
35,0.000000460
500000,0.000424460
40,0.000000651
25000,0.000009408
300,0.000000211
3500,0.000001943
45,0.000000561
30000,0.000011341
50,0.000000611
350000,0.000262719
3000,0.000002164
35000,0.000017462
40000,0.000043892
450,0.000000291
200000,0.000143897
2500,0.000001062
200,0.000002505
45000,0.000017423
1000000,0.000737885
2000,0.000001132
50000,0.000019396
450000,0.000323122
1500,0.000000651
350,0.000000300
100,0.000001052
300000,0.000203118
1000,0.000000561
150000,0.000076993
500,0.000000351
250,0.000002584
