Size,Time
0,0.000000261
1,0.000000832
2,0.000001062
3,0.000000741
4,0.000000832
5,0.000000931
400000,0.026056479
5000,0.000185565
10,0.000001273
15,0.000000862
400,0.000016681
10000,0.000448215
250000,0.015760265
20,0.000001002
4500,0.000255988
150,0.000012253
15000,0.000709993
25,0.000001363
30,0.000001423
4000,0.000211925
20000,0.000905928
100000,0.004850417
35,0.000001583
500000,0.047389006
40,0.000001803
25000,0.001182743
300,0.000012814
3500,0.000174314
45,0.000002154
30000,0.001416088
50,0.000002274
350000,0.024388060
3000,0.000133960
35000,0.002230216
40000,0.001761302
450,0.000018896
200000,0.011155264
2500,0.000124162
200,0.000009739
45000,0.001982484
1000000,0.112036884
2000,0.000097181
50000,0.002283235
450000,0.025719220
1500,0.000086350
350,0.000014247
100,0.000004939
300000,0.028110546
1000,0.000044724
150000,0.007439873
500,0.000021470
250,0.000012072
