Size,Time
0,0.000000070
1,0.000000360
2,0.000000240
3,0.000000381
4,0.000000411
5,0.000000551
400000,0.000925694
5000,0.000003036
10,0.000000611
15,0.000000280
400,0.000000361
10000,0.000007704
250000,0.000602753
20,0.000000340
4500,0.000003486
150,0.000002214
15000,0.000011522
25,0.000000381
30,0.000000421
4000,0.000003256
20000,0.000016571
100000,0.000118170
35,0.000000481
500000,0.001167976
40,0.000000512
25000,0.000020819
300,0.000000221
3500,0.000002515
45,0.000000591
30000,0.000025328
50,0.000000631
350000,0.001004311
3000,0.000001984
35000,0.000038142
40000,0.000035005
450,0.000000290
200000,0.000452864
2500,0.000001493
200,0.000002424
45000,0.000037450
1000000,0.003456991
2000,0.000001243
50000,0.000047588
450000,0.000812173
1500,0.000001373
350,0.000000230
100,0.000001142
300000,0.000914104
1000,0.000000601
150000,0.000195565
500,0.000000310
250,0.000002615
