Size,Time
1,0.000007013
80000,0.035155192
2,0.000012894
3,0.000016581
4,0.000030136
900,0.000104525
5,0.000036448
6,0.000025878
400000,0.167015594
7,0.000020879
8,0.000040405
5000,0.000653157
9,0.000047068
10,0.000024345
800000,0.356373216
400,0.000089847
10000,0.001500115
90000,0.032251922
20,0.000055674
30,0.000037199
2000000,1.214761584
800,0.000113402
4000,0.000545115
20000,0.002815186
100000,0.036648199
500000,0.170435148
40,0.000036077
9000,0.001221005
300,0.000074599
900000,0.442274240
30000,0.004912473
50,0.000035587
3000,0.000502937
60,0.000084347
700,0.000097221
8000,0.001264526
40000,0.008518301
200000,0.066616423
70,0.000041288
200,0.000092482
600000,0.229737384
1000000,0.452014525
80,0.000062767
2000,0.000303014
50000,0.010988664
600,0.000124742
7000,0.001202962
90,0.000033933
60000,0.013033584
100,0.000048600
300000,0.109150109
1000,0.000141894
700000,0.278722676
6000,0.000798949
70000,0.016293127
500,0.000097131
