Size,Time
1,0.000012884
80000,0.239852334
2,0.000012884
3,0.000009908
4,0.000014257
900,0.000098775
5,0.000014918
6,0.000015529
400000,6.118262251
7,0.000017643
8,0.000007645
5000,0.001066968
9,0.000007554
10,0.000008255
800000,24.501017210
400,0.000027051
10000,0.003639270
90000,0.300557800
20,0.000007895
30,0.000009718
2000000,174.106966945
800,0.000060663
4000,0.000762050
20000,0.014407534
100000,0.364267654
500000,9.538856012
40,0.000011672
9000,0.003006091
300,0.000020338
900000,38.691531964
30000,0.039723242
50,0.000013365
3000,0.000427065
60,0.000019426
700,0.000055543
8000,0.002524193
40000,0.057683205
200000,1.521092693
70,0.000006682
200,0.000013064
600000,13.722392755
1000000,49.235244986
80,0.000007564
2000,0.000330065
50000,0.090472138
600,0.000042569
7000,0.001750451
90,0.000008415
60000,0.138063921
100,0.000008335
300000,3.417773835
1000,0.000088775
700000,18.708646394
6000,0.001392544
70000,0.193542943
500,0.000064039
