Size,Time
0,0.000000772
1,0.000026500
2,0.000016791
3,0.000019126
4,0.000018074
5,0.000015439
400000,0.014929606
5000,0.000149990
10,0.000031709
15,0.000050303
400,0.000013154
10000,0.000286333
250000,0.011617005
20,0.000051856
4500,0.000158346
150,0.000019256
15000,0.000625616
25,0.000041707
30,0.000007203
4000,0.000182300
20000,0.000738496
100000,0.003753564
35,0.000016121
500000,0.019919555
40,0.000014477
25000,0.001229271
300,0.000012132
3500,0.000145491
45,0.000010219
30000,0.001110509
50,0.000011021
350000,0.016500805
3000,0.000117639
35000,0.001161063
40000,0.002259871
450,0.000015789
200000,0.006814136
2500,0.000097872
200,0.000012603
45000,0.002028078
1000000,0.039710783
2000,0.000104385
50000,0.002200490
450000,0.020667778
1500,0.000053539
350,0.000016561
100,0.000011251
300000,0.010848633
1000,0.000039013
150000,0.005237749
500,0.000031178
250,0.000008465
