Size,Time
0,0.000000732
1,0.000007033
2,0.000011011
3,0.000009407
4,0.000010609
5,0.000011371
400000,0.001023808
5000,0.000016300
10,0.000011361
15,0.000006082
400,0.000004918
10000,0.000025437
250000,0.000661693
20,0.000004939
4500,0.000015269
150,0.000002624
15000,0.000047639
25,0.000004959
30,0.000006403
4000,0.000015729
20000,0.000062808
100000,0.000366463
35,0.000011902
500000,0.001348102
40,0.000013074
25000,0.000083877
300,0.000003927
3500,0.000018454
45,0.000007293
30000,0.000111358
50,0.000007615
350000,0.001101773
3000,0.000009749
35000,0.000110396
40000,0.000139260
450,0.000006192
200000,0.000695105
2500,0.000008486
200,0.000003296
45000,0.000159407
1000000,0.002827669
2000,0.000027031
50000,0.000184875
450000,0.001498112
1500,0.000025688
350,0.000004809
100,0.000002175
300000,0.000792527
1000,0.000011873
150000,0.000556888
500,0.000006141
250,0.000003185
