Size,Time
0,0.000000712
1,0.000011240
2,0.000017833
3,0.000018645
4,0.000022963
5,0.000022411
400000,0.015490513
5000,0.000161191
10,0.000048350
15,0.000026409
400,0.000013345
10000,0.000367214
250000,0.009932286
20,0.000041608
4500,0.000158876
150,0.000015228
15000,0.000627078
25,0.000040586
30,0.000009137
4000,0.000122488
20000,0.000668375
100000,0.005263727
35,0.000010159
500000,0.023698425
40,0.000007985
25000,0.001242985
300,0.000012533
3500,0.000111859
45,0.000014227
30000,0.000778240
50,0.000008916
350000,0.018256986
3000,0.000108201
35000,0.001852712
40000,0.002292352
450,0.000032851
200000,0.008311896
2500,0.000084919
200,0.000014437
45000,0.002230376
1000000,0.039922975
2000,0.000079569
50000,0.001786158
450000,0.017498934
1500,0.000059391
350,0.000013145
100,0.000015038
300000,0.012221341
1000,0.000037199
150000,0.006186997
500,0.000019446
250,0.000007875
