Size,Time
0,0.000001012
1,0.000007784
2,0.000008436
3,0.000010379
4,0.000010950
5,0.000011411
400000,0.001026693
5000,0.000015870
10,0.000010219
15,0.000004479
400,0.000004859
10000,0.000032240
250000,0.000813576
20,0.000004869
4500,0.000015218
150,0.000002165
15000,0.000038222
25,0.000006883
30,0.000005761
4000,0.000013104
20000,0.000068808
100000,0.000316600
35,0.000005841
500000,0.001312055
40,0.000005880
25000,0.000083866
300,0.000004077
3500,0.000010620
45,0.000006452
30000,0.000075651
50,0.000001113
350000,0.001151766
3000,0.000010719
35000,0.000094456
40000,0.000136054
450,0.000016400
200000,0.000707207
2500,0.000008496
200,0.000003737
45000,0.000141924
1000000,0.002639958
2000,0.000007074
50000,0.000201345
450000,0.001415377
1500,0.000019146
350,0.000004518
100,0.000001313
300000,0.000887283
1000,0.000029235
150000,0.000510522
500,0.000007073
250,0.000003256
