Size,Time
0,0.000000812
1,0.000012052
2,0.000022772
3,0.000017693
4,0.000026289
5,0.000022582
400000,0.014338796
5000,0.000170187
10,0.000046917
15,0.000051296
400,0.000018985
10000,0.000396570
250000,0.008713364
20,0.000018815
4500,0.000160109
150,0.000025147
15000,0.000467892
25,0.000010539
30,0.000010249
4000,0.000235960
20000,0.001013628
100000,0.003698852
35,0.000011150
500000,0.022959088
40,0.000012193
25000,0.001531083
300,0.000015979
3500,0.000117418
45,0.000031268
30000,0.001539357
50,0.000018334
350000,0.013462484
3000,0.000091921
35000,0.001695760
40000,0.001448619
450,0.000016691
200000,0.007360965
2500,0.000097441
200,0.000012693
45000,0.001846340
1000000,0.034892071
2000,0.000071193
50000,0.001670642
450000,0.020693275
1500,0.000088054
350,0.000015308
100,0.000011221
300000,0.011166986
1000,0.000042069
150000,0.005559329
500,0.000016921
250,0.000013244
