Size,Time
0,0.000000812
1,0.000009668
2,0.000011922
3,0.000014217
4,0.000013525
5,0.000014808
400000,15.512627668
5000,0.002302450
10,0.000006021
15,0.000007143
400,0.000031048
10000,0.011360827
250000,6.099471998
20,0.000006202
4500,0.002108508
150,0.000014427
15000,0.021850331
25,0.000008776
30,0.000006823
4000,0.001608528
20000,0.038500985
100000,0.964840396
35,0.000005972
500000,24.254641286
40,0.000008806
25000,0.059638779
300,0.000023033
3500,0.001409676
45,0.000008226
30000,0.087268739
50,0.000003387
350000,11.932507640
3000,0.000976549
35000,0.116192991
40000,0.151751675
450,0.000032921
200000,3.911388635
2500,0.000580982
200,0.000010650
45000,0.207873841
1000000,96.860402413
2000,0.000609546
50000,0.240072824
450000,19.702249318
1500,0.000487899
350,0.000024997
100,0.000004879
300000,8.710916614
1000,0.000142155
150000,2.158389764
500,0.000031069
250,0.000014837
