Size,Time
0,0.000000682
1,0.000010439
2,0.000017292
3,0.000019677
4,0.000019055
5,0.000021921
400000,0.017025712
5000,0.000136754
10,0.000026470
15,0.000043020
400,0.000016010
10000,0.000353709
250000,0.011138824
20,0.000033833
4500,0.000145891
150,0.000031108
15000,0.000529787
25,0.000042739
30,0.000008556
4000,0.000143628
20000,0.000756259
100000,0.003005430
35,0.000015529
500000,0.019454588
40,0.000009307
25000,0.001429584
300,0.000014698
3500,0.000109213
45,0.000012413
30000,0.001021644
50,0.000028693
350000,0.011150255
3000,0.000098584
35000,0.002123236
40000,0.001240942
450,0.000013846
200000,0.009372282
2500,0.000118461
200,0.000015920
45000,0.002108919
1000000,0.044281786
2000,0.000085039
50000,0.001565948
450000,0.018030321
1500,0.000063218
350,0.000013916
100,0.000014928
300000,0.009387360
1000,0.000035596
150000,0.004383768
500,0.000021069
250,0.000010279
