Size,Time
0,0.000000491
1,0.000010109
2,0.000011932
3,0.000014878
4,0.000014928
5,0.000014096
400000,37.259041752
5000,0.006517066
10,0.000018003
15,0.000004989
400,0.000050314
10000,0.022908593
250000,14.567237371
20,0.000007134
4500,0.004294762
150,0.000019707
15000,0.051452266
25,0.000007013
30,0.000008035
4000,0.003538423
20000,0.093742021
100000,2.355833778
35,0.000008416
500000,58.141324755
40,0.000008827
25000,0.179626440
300,0.000038131
3500,0.002653514
45,0.000009097
30000,0.226298008
50,0.000027180
350000,28.524861242
3000,0.001998424
35000,0.278835827
40000,0.382224655
450,0.000066264
200000,9.346445109
2500,0.001413123
200,0.000021870
45000,0.458579336
1000000,232.734912292
2000,0.001283582
50000,0.582653100
450000,47.141482552
1500,0.000733247
350,0.000037801
100,0.000007815
300000,21.005099302
1000,0.000336467
150000,5.231155833
500,0.000076944
250,0.000027231
