Size,Time
0,0.000000671
1,0.000011641
2,0.000013976
3,0.000020649
4,0.000017071
5,0.000019546
400000,0.017846741
5000,0.000222184
10,0.000027842
15,0.000022242
400,0.000014767
10000,0.000354871
250000,0.008590122
20,0.000016551
4500,0.000161481
150,0.000012203
15000,0.000614905
25,0.000048942
30,0.000007344
4000,0.000125725
20000,0.000691949
100000,0.003150299
35,0.000010340
500000,0.014247426
40,0.000009277
25000,0.001303328
300,0.000013455
3500,0.000130253
45,0.000009969
30000,0.001359754
50,0.000005981
350000,0.016632490
3000,0.000139901
35000,0.001771090
40000,0.001461263
450,0.000015518
200000,0.006717576
2500,0.000100437
200,0.000018274
45000,0.002191713
1000000,0.033755843
2000,0.000225780
50000,0.001941537
450000,0.017851892
1500,0.000061625
350,0.000013125
100,0.000009598
300000,0.013915117
1000,0.000045845
150000,0.004140885
500,0.000016772
250,0.000010019
