Size,Time
0,0.000000631
1,0.000011241
2,0.000010760
3,0.000013996
4,0.000011301
5,0.000013846
400000,37.266592043
5000,0.005996744
10,0.000015910
15,0.000006562
400,0.000058609
10000,0.025737577
250000,14.576258069
20,0.000008235
4500,0.004309429
150,0.000012653
15000,0.051519913
25,0.000007705
30,0.000008446
4000,0.003472971
20000,0.091083587
100000,2.332324713
35,0.000008295
500000,58.191688897
40,0.000007685
25000,0.151298009
300,0.000036398
3500,0.002785731
45,0.000009508
30000,0.207200666
50,0.000003797
350000,28.503044935
3000,0.001923894
35000,0.283755574
40000,0.369450451
450,0.000068607
200000,9.337479518
2500,0.001631911
200,0.000020548
45000,0.466779024
1000000,232.802664528
2000,0.001406821
50000,0.588401461
450000,47.141259316
1500,0.000624083
350,0.000050814
100,0.000007103
300000,21.025597754
1000,0.000223366
150000,5.275534762
500,0.000065341
250,0.000028222
