Size,Time
0,0.000000592
1,0.000010680
2,0.000021129
3,0.000018584
4,0.000015760
5,0.000020869
400000,0.012794829
5000,0.000249274
10,0.000048631
15,0.000023164
400,0.000012704
10000,0.000317913
250000,0.008055519
20,0.000017583
4500,0.000135923
150,0.000025648
15000,0.000538002
25,0.000007885
30,0.000032600
4000,0.000136414
20000,0.000919483
100000,0.003241730
35,0.000026860
500000,0.022854012
40,0.000033282
25000,0.001048133
300,0.000010930
3500,0.000140631
45,0.000012363
30000,0.001547212
50,0.000018905
350000,0.011896025
3000,0.000141965
35000,0.001974249
40000,0.001352741
450,0.000023584
200000,0.009241839
2500,0.000097502
200,0.000036117
45000,0.001562571
1000000,0.030909621
2000,0.000078466
50000,0.001982263
450000,0.021006870
1500,0.000063519
350,0.000038882
100,0.000019396
300000,0.009856184
1000,0.000045074
150000,0.005086677
500,0.000021210
250,0.000012083
