Size,Time
0,0.000000712
1,0.000010569
2,0.000013114
3,0.000013425
4,0.000012583
5,0.000016020
400000,21.758761540
5000,0.003526541
10,0.000021641
15,0.000006903
400,0.000038362
10000,0.013502648
250000,8.443830675
20,0.000005971
4500,0.002469622
150,0.000009758
15000,0.030401775
25,0.000007083
30,0.000007273
4000,0.002317168
20000,0.056623682
100000,1.373506120
35,0.000008105
500000,33.945678198
40,0.000009107
25000,0.083531957
300,0.000023073
3500,0.001911141
45,0.000008425
30000,0.132386442
50,0.000006942
350000,16.637464690
3000,0.001312856
35000,0.162079988
40000,0.212166419
450,0.000031609
200000,5.456036026
2500,0.001054194
200,0.000030006
45000,0.273820052
1000000,135.619395588
2000,0.000598896
50000,0.334317411
450000,27.532805178
1500,0.000414853
350,0.000033532
100,0.000006883
300000,12.209627697
1000,0.000192749
150000,3.037476039
500,0.000046887
250,0.000016591
