Size,Time
1,0.000073577
80000,0.008196993
2,0.000025467
3,0.000024726
4,0.000017994
900,0.000068067
5,0.000022151
6,0.000023163
400000,0.036633095
7,0.000023113
8,0.000023353
5000,0.000240498
9,0.000021149
10,0.000018124
800000,0.068806521
400,0.000027912
10000,0.000349512
90000,0.005822478
20,0.000024967
30,0.000042559
2000000,0.206562277
800,0.000047228
4000,0.000160219
20000,0.000843842
100000,0.009857025
500000,0.034737844
40,0.000040686
9000,0.000396329
300,0.000020948
900000,0.066424376
30000,0.001393456
50,0.000018615
3000,0.000135352
60,0.000026138
700,0.000042689
8000,0.000322712
40000,0.001832394
200000,0.022998080
70,0.000034033
200,0.000043982
600000,0.057134577
1000000,0.079420056
80,0.000015038
2000,0.000093284
50000,0.001473856
600,0.000042018
7000,0.000260786
90,0.000020959
60000,0.001892095
100,0.000026879
300000,0.031681259
1000,0.000041577
700000,0.046588770
6000,0.000243253
70000,0.002662671
500,0.000027402
