Size,Time
1,0.000007473
80000,0.008475812
2,0.000013345
3,0.000016280
4,0.000015500
900,0.000048039
5,0.000022542
6,0.000022171
400000,0.037521463
7,0.000025527
8,0.000022091
5000,0.000218267
9,0.000019045
10,0.000019265
800000,0.061392700
400,0.000028864
10000,0.000455489
90000,0.007627662
20,0.000030577
30,0.000033221
2000000,0.223667738
800,0.000043381
4000,0.000163334
20000,0.000735721
100000,0.009419791
500000,0.053061424
40,0.000017111
9000,0.000373406
300,0.000028623
900000,0.058699379
30000,0.001012195
50,0.000019105
3000,0.000140622
60,0.000018434
700,0.000038933
8000,0.000354571
40000,0.001458507
200000,0.026706530
70,0.000011872
200,0.000018464
600000,0.045443878
1000000,0.080773137
80,0.000027391
2000,0.000099265
50000,0.001898528
600,0.000038371
7000,0.000245016
90,0.000023414
60000,0.002319001
100,0.000016712
300000,0.027882471
1000,0.000056234
700000,0.050167803
6000,0.000229928
70000,0.003805701
500,0.000039384
