Size,Time
1,0.000009217
80000,0.714880761
2,0.000011912
3,0.000011101
4,0.000013335
900,0.000077755
5,0.000016451
6,0.000017944
400000,9.514813400
7,0.000019667
8,0.000008827
5000,0.001283802
9,0.000007323
10,0.000008115
800000,37.870982638
400,0.000027311
10000,0.005266312
90000,0.838941431
20,0.000009448
30,0.000009207
2000000,244.549244835
800,0.000063970
4000,0.000848190
20000,0.023021133
100000,0.996217245
500000,14.801900626
40,0.000010439
9000,0.004427098
300,0.000015518
900000,57.140436320
30000,0.050861485
50,0.000011652
3000,0.000602422
60,0.000012864
700,0.000048711
8000,0.003675689
40000,0.090588455
200000,2.352931849
70,0.000006051
200,0.000009868
600000,21.339534255
1000000,72.235069573
80,0.000007024
2000,0.000298697
50000,0.146983641
600,0.000039403
7000,0.004250159
90,0.000006772
60000,0.256126799
100,0.000007644
300000,5.357369631
1000,0.000091440
700000,29.007701499
6000,0.001990960
70000,0.283227090
500,0.000029655
