Size,Time
1,0.000024396
80000,0.004618749
2,0.000012794
3,0.000016511
4,0.000011121
900,0.000016430
5,0.000015660
6,0.000013295
400000,0.004817987
7,0.000015098
8,0.000034675
5000,0.000071033
9,0.000006492
10,0.000005680
800000,0.010416247
400,0.000007133
10000,0.000119904
90000,0.006544206
20,0.000008456
30,0.000011170
2000000,0.022113351
800,0.000019416
4000,0.000047237
20000,0.000207026
100000,0.004167935
500000,0.005613148
40,0.000010018
9000,0.000087864
300,0.000006572
900000,0.025024165
30000,0.000356845
50,0.000012203
3000,0.000026269
60,0.000013154
700,0.000012934
8000,0.000083496
40000,0.002141102
200000,0.002310044
70,0.000034615
200,0.000010289
600000,0.008926351
1000000,0.022534596
80,0.000006081
2000,0.000038572
50000,0.001041891
600,0.000008937
7000,0.000073377
90,0.000012884
60000,0.001082327
100,0.000006191
300000,0.003657825
1000,0.000015048
700000,0.012435260
6000,0.000060683
70000,0.000618161
500,0.000008456
