Size,Time
1,0.000007955
80000,0.007345746
2,0.000030977
3,0.000031329
4,0.000017462
900,0.000041988
5,0.000019245
6,0.000023834
400000,0.034758198
7,0.000022612
8,0.000052728
5000,0.000276255
9,0.000048591
10,0.000018966
800000,0.061344184
400,0.000042440
10000,0.000366453
90000,0.005940799
20,0.000023093
30,0.000032010
2000000,0.171629240
800,0.000041067
4000,0.000157854
20000,0.000758133
100000,0.009110535
500000,0.041364781
40,0.000051707
9000,0.000369970
300,0.000020988
900000,0.085124942
30000,0.001186270
50,0.000018004
3000,0.000121086
60,0.000021279
700,0.000039234
8000,0.000385528
40000,0.001610701
200000,0.028394505
70,0.000019226
200,0.000058709
600000,0.044904356
1000000,0.086835191
80,0.000018846
2000,0.000067686
50000,0.001667747
600,0.000038191
7000,0.000323232
90,0.000017162
60000,0.002022298
100,0.000024525
300000,0.031370279
1000,0.000109804
700000,0.052372361
6000,0.000204792
70000,0.002308852
500,0.000031619
