Size,Time
1,0.000008406
80000,0.006742353
2,0.000013084
3,0.000015319
4,0.000017452
900,0.000048680
5,0.000019657
6,0.000020338
400000,0.057455020
7,0.000026119
8,0.000036758
5000,0.000207787
9,0.000016391
10,0.000022872
800000,0.058602031
400,0.000027091
10000,0.000411888
90000,0.006662954
20,0.000024045
30,0.000025507
2000000,0.217959038
800,0.000046617
4000,0.000176719
20000,0.000794681
100000,0.011965424
500000,0.040913540
40,0.000019296
9000,0.000382503
300,0.000038292
900000,0.077805761
30000,0.001284974
50,0.000018514
3000,0.000105346
60,0.000029275
700,0.000032570
8000,0.000295691
40000,0.001512588
200000,0.028842292
70,0.000046687
200,0.000015669
600000,0.051714281
1000000,0.063144571
80,0.000016811
2000,0.000097823
50000,0.001773274
600,0.000028523
7000,0.000302844
90,0.000016571
60000,0.001969830
100,0.000018725
300000,0.030771663
1000,0.000043281
700000,0.047874182
6000,0.000350834
70000,0.003734959
500,0.000032861
