Size,Time
1,0.000011882
80000,0.224046276
2,0.000013355
3,0.000010850
4,0.000014146
900,0.000047078
5,0.000014947
6,0.000017724
400000,3.119639957
7,0.000013826
8,0.000006182
5000,0.000621929
9,0.000006472
10,0.000008186
800000,12.589252465
400,0.000018795
10000,0.001956445
90000,0.284231023
20,0.000009407
30,0.000009297
2000000,78.812669343
800,0.000038772
4000,0.000450380
20000,0.007016714
100000,0.193954837
500000,4.923123803
40,0.000010199
9000,0.001604419
300,0.000010760
900000,18.761194212
30000,0.016608926
50,0.000018524
3000,0.000202457
60,0.000054031
700,0.000032901
8000,0.001290896
40000,0.036666597
200000,0.757843787
70,0.000005691
200,0.000009077
600000,7.051088935
1000000,26.021652114
80,0.000006041
2000,0.000129041
50000,0.054828196
600,0.000028052
7000,0.001244509
90,0.000006803
60000,0.070488224
100,0.000006773
300000,1.770447612
1000,0.000049192
700000,9.647940076
6000,0.000835546
70000,0.123532940
500,0.000018394
