Size,Time
1,0.000012764
80000,0.627637249
2,0.000014918
3,0.000012673
4,0.000012703
900,0.000080420
5,0.000015388
6,0.000016591
400000,12.656193691
7,0.000015750
8,0.000030116
5000,0.002151599
9,0.000010199
10,0.000007785
800000,50.551443704
400,0.000038040
10000,0.007229200
90000,0.723962075
20,0.000009838
30,0.000010640
2000000,349.144281717
800,0.000089597
4000,0.001395791
20000,0.029715937
100000,0.867193678
500000,19.735780687
40,0.000011943
9000,0.005795618
300,0.000058990
900000,75.575465427
30000,0.067138513
50,0.000014948
3000,0.000883095
60,0.000013345
700,0.000070852
8000,0.004564174
40000,0.119779864
200000,3.142975960
70,0.000013795
200,0.000056114
600000,28.433850417
1000000,93.962833715
80,0.000007484
2000,0.000389024
50000,0.187396768
600,0.000057016
7000,0.003455579
90,0.000008616
60000,0.287544741
100,0.000011872
300000,7.112433937
1000,0.000141394
700000,38.657463855
6000,0.002778447
70000,0.374395595
500,0.000040646
