Size,Time
0,0.000000792
1,0.000011391
2,0.000019726
3,0.000020888
4,0.000022372
5,0.000034304
400000,0.195443420
5000,0.000977421
10,0.000033272
15,0.000053450
400,0.000051547
10000,0.002328038
250000,0.084990304
20,0.000022792
4500,0.000872937
150,0.000023584
15000,0.003071293
25,0.000018384
30,0.000012724
4000,0.000781115
20000,0.005096766
100000,0.024771866
35,0.000014286
500000,0.227362970
40,0.000013505
25000,0.006493739
300,0.000037650
3500,0.000654519
45,0.000016931
30000,0.008069244
50,0.000021971
350000,0.182806355
3000,0.000501565
35000,0.009799328
40000,0.010038012
450,0.000051696
200000,0.065029062
2500,0.000399254
200,0.000042519
45000,0.012807322
1000000,0.594139351
2000,0.000304567
50000,0.012252208
450000,0.191430423
1500,0.000244896
350,0.000047228
100,0.000022683
300000,0.133046864
1000,0.000199672
150000,0.045971975
500,0.000066915
250,0.000047207
