Size,Time
0,0.000000891
1,0.000012213
2,0.000014517
3,0.000014326
4,0.000009858
5,0.000011642
400000,18.860072182
5000,0.003148446
10,0.000013234
15,0.000005199
400,0.000041618
10000,0.011215197
250000,7.270197569
20,0.000007384
4500,0.002320313
150,0.000012022
15000,0.027196583
25,0.000007794
30,0.000009298
4000,0.002233872
20000,0.045688807
100000,1.195882983
35,0.000010840
500000,29.087917911
40,0.000007494
25000,0.080271683
300,0.000040335
3500,0.001432839
45,0.000010219
30000,0.103096069
50,0.000018343
350000,14.290163159
3000,0.001663529
35000,0.158309974
40000,0.223388474
450,0.000058179
200000,4.657769868
2500,0.000955330
200,0.000017813
45000,0.230260872
1000000,116.492339762
2000,0.000616990
50000,0.282260168
450000,23.691811586
1500,0.000378195
350,0.000033753
100,0.000008686
300000,10.540060452
1000,0.000151262
150000,2.658238046
500,0.000046837
250,0.000022251
