Size,Time
0,0.000000491
1,0.000011692
2,0.000013635
3,0.000021520
4,0.000018855
5,0.000022782
400000,0.249584650
5000,0.000918000
10,0.000053860
15,0.000030266
400,0.000061936
10000,0.002417765
250000,0.095027676
20,0.000017243
4500,0.001190819
150,0.000059842
15000,0.003853981
25,0.000033052
30,0.000030767
4000,0.000699243
20000,0.006492606
100000,0.034258080
35,0.000012704
500000,0.354984107
40,0.000013245
25000,0.007274654
300,0.000041417
3500,0.000613483
45,0.000014337
30000,0.009052597
50,0.000010359
350000,0.188339835
3000,0.000549063
35000,0.014884483
40000,0.011458009
450,0.000076563
200000,0.074635047
2500,0.000643599
200,0.000060483
45000,0.013005181
1000000,0.806553555
2000,0.000444157
50000,0.015182648
450000,0.223723663
1500,0.000283117
350,0.000045625
100,0.000018605
300000,0.139863013
1000,0.000170558
150000,0.051081616
500,0.000107430
250,0.000051486
