Size,Time
0,0.000000782
1,0.000010169
2,0.000012403
3,0.000014357
4,0.000014187
5,0.000014948
400000,18.686267796
5000,0.003024947
10,0.000035656
15,0.000006573
400,0.000071914
10000,0.011653002
250000,7.288315327
20,0.000007173
4500,0.002475993
150,0.000011943
15000,0.025449588
25,0.000008125
30,0.000008265
4000,0.002142222
20000,0.045919327
100000,1.149353769
35,0.000008856
500000,29.235494183
40,0.000009047
25000,0.071302641
300,0.000025698
3500,0.001766451
45,0.000007874
30000,0.118274910
50,0.000004548
350000,14.389077634
3000,0.001279965
35000,0.216632784
40000,0.182605161
450,0.000050855
200000,4.724604347
2500,0.001176421
200,0.000046817
45000,0.231317171
1000000,116.653586947
2000,0.000564942
50000,0.288986330
450000,23.700642013
1500,0.000385698
350,0.000035046
100,0.000008125
300000,10.488243333
1000,0.000146763
150000,2.623323068
500,0.000082884
250,0.000023844
