Size,Time
1,0.000000238
2,0.000000238
3,0.000000238
4,0.000000477
5,0.000000715
6,0.000000477
7,0.000000954
8,0.000000715
9,0.000000954
10,0.000000954
20,0.000001907
30,0.000003338
40,0.000004292
50,0.000005007
60,0.000006676
70,0.000006914
80,0.000008345
90,0.000009298
100,0.000010729
200,0.000015974
300,0.000026941
400,0.000040531
500,0.000073910
600,0.000093699
700,0.000112534
800,0.000118256
900,0.000093460
1000,0.000128508
2000,0.000214577
3000,0.000359774
4000,0.000715494
5000,0.000618219
6000,0.000764370
7000,0.000880480
8000,0.001015663
9000,0.001178026
10000,0.001654625
20000,0.003016472
30000,0.003987789
40000,0.005717993
50000,0.007096529
60000,0.010044098
70000,0.011079311
80000,0.011186600
90000,0.014999390
100000,0.023735046
200000,0.040389299
300000,0.062311172
400000,0.097030163
500000,0.137419224
600000,0.172255754
700000,0.186819315
800000,0.249064207
900000,0.273455143
1000000,0.300396204
2000000,0.630583048
