Size,Time
1,0.000000238
2,0.000000477
3,0.000000238
4,0.000000477
5,0.000000477
6,0.000000477
7,0.000000477
8,0.000000477
9,0.000000477
10,0.000000715
20,0.000000715
30,0.000001192
40,0.000001192
50,0.000001669
60,0.000002146
70,0.000002146
80,0.000002384
90,0.000002384
100,0.000002146
200,0.000003338
300,0.000005722
400,0.000009298
500,0.000020742
600,0.000026703
700,0.000030994
800,0.000033855
900,0.000022650
1000,0.000046015
2000,0.000051022
3000,0.000073195
4000,0.000129223
5000,0.000120878
6000,0.000151396
7000,0.000172377
8000,0.000193119
9000,0.000233173
10000,0.000353098
20000,0.000546217
30000,0.000859499
40000,0.001136780
50000,0.001426935
60000,0.001821041
70000,0.002016068
80000,0.002385378
90000,0.002609491
100000,0.004024267
200000,0.007295370
300000,0.012023687
400000,0.033017159
500000,0.028041363
600000,0.032893181
700000,0.038131714
800000,0.072041512
900000,0.066353559
1000000,0.078295708
2000000,0.207305193
