Size,Time
1,0.000000477
2,0.000000238
3,0.000000477
4,0.000000715
5,0.000000715
10,0.000000954
15,0.000001192
20,0.000002146
25,0.000002384
30,0.000002861
35,0.000003338
40,0.000003576
45,0.000005007
50,0.000005245
100,0.000010014
150,0.000015259
200,0.000023365
250,0.000020981
300,0.000036716
350,0.000044107
400,0.000052929
450,0.000058413
500,0.000045776
1000,0.000095129
1500,0.000169992
2000,0.000195026
2500,0.000250340
3000,0.000369072
3500,0.000364304
4000,0.000409842
4500,0.000471115
5000,0.000689983
10000,0.001147509
15000,0.001751423
20000,0.002261639
25000,0.002919912
30000,0.003436565
35000,0.003791571
40000,0.004688263
45000,0.005373478
50000,0.005685091
100000,0.014145136
150000,0.021177053
200000,0.029547691
250000,0.035329580
300000,0.052745104
350000,0.049441576
400000,0.053236008
450000,0.067745447
500000,0.113247156
1000000,0.156769991
