Size,Time
1,0.000000477
2,0.000000238
3,0.000000238
4,0.000000715
5,0.000000477
10,0.000000477
15,0.000000477
20,0.000000954
25,0.000000715
30,0.000000954
35,0.000001192
40,0.000001431
45,0.000001192
50,0.000001669
100,0.000002623
150,0.000003815
200,0.000005245
250,0.000003576
300,0.000008821
350,0.000010490
400,0.000011921
450,0.000015020
500,0.000009537
1000,0.000020981
1500,0.000032663
2000,0.000041008
2500,0.000055552
3000,0.000066996
3500,0.000076056
4000,0.000089407
4500,0.000094891
5000,0.000107288
10000,0.000213146
15000,0.000346184
20000,0.000432968
25000,0.000588417
30000,0.000690222
35000,0.000845432
40000,0.000886917
45000,0.001008749
50000,0.001118183
100000,0.002127886
150000,0.003295422
200000,0.004919052
250000,0.005651474
300000,0.007039070
350000,0.008069754
400000,0.009286404
450000,0.010948420
500000,0.011571169
1000000,0.022979975
