Size,Time
1,0.000000238
2,0.000000477
3,0.000000477
4,0.000000477
5,0.000000477
10,0.000000954
15,0.000001431
20,0.000002146
25,0.000002384
30,0.000002861
35,0.000003099
40,0.000003338
45,0.000005007
50,0.000005722
100,0.000006437
150,0.000012159
200,0.000023127
250,0.000031471
300,0.000034809
350,0.000042915
400,0.000051737
450,0.000040293
500,0.000045776
1000,0.000101089
1500,0.000155687
2000,0.000196457
2500,0.000243425
3000,0.000296593
3500,0.000361443
4000,0.000411272
4500,0.000464678
5000,0.000580549
10000,0.001166344
15000,0.001673937
20000,0.002334833
25000,0.003875256
30000,0.003713608
35000,0.003954887
40000,0.004791498
45000,0.005222082
50000,0.007101059
100000,0.017268419
150000,0.022437572
200000,0.027851820
250000,0.034884691
300000,0.051219940
350000,0.051548481
400000,0.068165302
450000,0.057086945
500000,0.076333284
1000000,0.133479595
