Size,Time
1,0.000000238
2,0.000000477
3,0.000000238
4,0.000000238
5,0.000000238
10,0.000000477
15,0.000000715
20,0.000001192
25,0.000000954
30,0.000001431
35,0.000000954
40,0.000000954
45,0.000001669
50,0.000001669
100,0.000001907
150,0.000002146
200,0.000005484
250,0.000006914
300,0.000008345
350,0.000010014
400,0.000012398
450,0.000008345
500,0.000017166
1000,0.000021935
1500,0.000032902
2000,0.000051260
2500,0.000053883
3000,0.000069380
3500,0.000077963
4000,0.000081062
4500,0.000098228
5000,0.000214100
10000,0.000204802
15000,0.000310421
20000,0.000451565
25000,0.000509739
30000,0.000630140
35000,0.000729322
40000,0.000864267
45000,0.000949860
50000,0.001109600
100000,0.002077818
150000,0.003171682
200000,0.004127264
250000,0.006021976
300000,0.006246805
350000,0.007469416
400000,0.008705139
450000,0.009392262
500000,0.010472059
1000000,0.020852804
