Size,Time
1,0.000000477
2,0.000000477
3,0.000000477
4,0.000000477
5,0.000000715
10,0.000000954
15,0.000001669
20,0.000001669
25,0.000002623
30,0.000002861
35,0.000003099
40,0.000021219
45,0.000004292
50,0.000004768
100,0.000010252
150,0.000017643
200,0.000024557
250,0.000031233
300,0.000037670
350,0.000045538
400,0.000053644
450,0.000042915
500,0.000046730
1000,0.000097036
1500,0.000152349
2000,0.000196934
2500,0.000289917
3000,0.000296116
3500,0.000357628
4000,0.000559568
4500,0.000473976
5000,0.000513077
10000,0.001099348
15000,0.001747131
20000,0.002336979
25000,0.002779722
30000,0.003196001
35000,0.004115343
40000,0.006441832
45000,0.005749941
50000,0.005766869
100000,0.014336824
150000,0.021691561
200000,0.029307127
250000,0.054826260
300000,0.046494007
350000,0.050003529
400000,0.060179949
450000,0.095763206
500000,0.071568966
1000000,0.216643095
