Size,Time
1,0.000000477
2,0.000000238
3,0.000000238
4,0.000000238
5,0.000000477
10,0.000000715
15,0.000000477
20,0.000000954
25,0.000000954
30,0.000000954
35,0.000001192
40,0.000001431
45,0.000001669
50,0.000001669
100,0.000002623
150,0.000004053
200,0.000003338
250,0.000006676
300,0.000008106
350,0.000010729
400,0.000012875
450,0.000008106
500,0.000009775
1000,0.000020742
1500,0.000033379
2000,0.000040531
2500,0.000057220
3000,0.000066757
3500,0.000077248
4000,0.000174284
4500,0.000095129
5000,0.000141859
10000,0.000229359
15000,0.000329733
20000,0.000420094
25000,0.000561953
30000,0.000663996
35000,0.000813484
40000,0.000943661
45000,0.001060963
50000,0.001048803
100000,0.002394915
150000,0.003240108
200000,0.007114887
250000,0.005502462
300000,0.007171392
350000,0.007758379
400000,0.009042501
450000,0.010927916
500000,0.011699915
1000000,0.022367477
