Size,Time
1,0.000000477
2,0.000000477
3,0.000000238
4,0.000000477
5,0.000000954
10,0.000000954
15,0.000001669
20,0.000001907
25,0.000002384
30,0.000002861
35,0.000003338
40,0.000003576
45,0.000004530
50,0.000004292
100,0.000008821
150,0.000014544
200,0.000022411
250,0.000020742
300,0.000035048
350,0.000042915
400,0.000050783
450,0.000042677
500,0.000045538
1000,0.000143290
1500,0.000145435
2000,0.000219822
2500,0.000267029
3000,0.000364065
3500,0.000352383
4000,0.000402689
4500,0.000464439
5000,0.000501633
10000,0.001085043
15000,0.001638174
20000,0.002214909
25000,0.002852917
30000,0.003484964
35000,0.004154205
40000,0.005373240
45000,0.005772352
50000,0.006614447
100000,0.012281418
150000,0.022773981
200000,0.031234026
250000,0.032958269
300000,0.045106411
350000,0.055340290
400000,0.073834658
450000,0.065585613
500000,0.072905779
1000000,0.151335239
