Size,Time
1,0.000000238
2,0.000000238
3,0.000000238
4,0.000000477
5,0.000000477
10,0.000000477
15,0.000000715
20,0.000000715
25,0.000000954
30,0.000000954
35,0.000001192
40,0.000001431
45,0.000001669
50,0.000001669
100,0.000002861
150,0.000004053
200,0.000005245
250,0.000003815
300,0.000008345
350,0.000010729
400,0.000012636
450,0.000008345
500,0.000009537
1000,0.000038385
1500,0.000032663
2000,0.000041008
2500,0.000070572
3000,0.000066996
3500,0.000081539
4000,0.000085115
4500,0.000102997
5000,0.000111341
10000,0.000218630
15000,0.000374317
20000,0.000429869
25000,0.000573397
30000,0.000775337
35000,0.000806808
40000,0.000949621
45000,0.000974894
50000,0.001151085
100000,0.002101183
150000,0.003170013
200000,0.004316568
250000,0.005355120
300000,0.008003950
350000,0.007408857
400000,0.009546280
450000,0.009837627
500000,0.010409355
1000000,0.021072149
