Size,Time
1,0.000000477
2,0.000000477
3,0.000000477
4,0.000000954
5,0.000000954
10,0.000000954
15,0.000001669
20,0.000002146
25,0.000002384
30,0.000002623
35,0.000003338
40,0.000003576
45,0.000004768
50,0.000004768
100,0.000010252
150,0.000013113
200,0.000022888
250,0.000028610
300,0.000036478
350,0.000045300
400,0.000051975
450,0.000039101
500,0.000061035
1000,0.000097752
1500,0.000152111
2000,0.000244856
2500,0.000259399
3000,0.000301838
3500,0.000354528
4000,0.000584841
4500,0.000461102
5000,0.000573397
10000,0.001475811
15000,0.001706123
20000,0.002430916
25000,0.002671003
30000,0.004988670
35000,0.004851818
40000,0.005615950
45000,0.006447315
50000,0.007887840
100000,0.013419628
150000,0.018433571
200000,0.032175779
250000,0.029889822
300000,0.044258833
350000,0.054052353
400000,0.061248541
450000,0.055490017
500000,0.074691296
1000000,0.124472857
