Size,Time
1,0.000000238
2,0.000000238
3,0.000000238
4,0.000000477
5,0.000000238
10,0.000000954
15,0.000000715
20,0.000000715
25,0.000001192
30,0.000000954
35,0.000001431
40,0.000001192
45,0.000001192
50,0.000001669
100,0.000002623
150,0.000002384
200,0.000005722
250,0.000006437
300,0.000008583
350,0.000010729
400,0.000012875
450,0.000008345
500,0.000009775
1000,0.000021696
1500,0.000060320
2000,0.000044107
2500,0.000059366
3000,0.000065327
3500,0.000078440
4000,0.000166655
4500,0.000100136
5000,0.000112295
10000,0.000454187
15000,0.000334024
20000,0.000463724
25000,0.000554562
30000,0.000650644
35000,0.000835180
40000,0.000952482
45000,0.000991583
50000,0.001193762
100000,0.002184391
150000,0.003503084
200000,0.004765272
250000,0.005303621
300000,0.006791592
350000,0.007910490
400000,0.009141445
450000,0.010414600
500000,0.016033411
1000000,0.022885799
