Size,Time
1,0.000000238
2,0.000000238
3,0.000000477
4,0.000000477
5,0.000000477
10,0.000001192
15,0.000001431
20,0.000001669
25,0.000002861
30,0.000002623
35,0.000003338
40,0.000004292
45,0.000004292
50,0.000005007
100,0.000010252
150,0.000013590
200,0.000016928
250,0.000031948
300,0.000036716
350,0.000044584
400,0.000052214
450,0.000041008
500,0.000066519
1000,0.000097513
1500,0.000148058
2000,0.000200987
2500,0.000254393
3000,0.000320673
3500,0.000355959
4000,0.000400543
4500,0.000489712
5000,0.000525713
10000,0.001058102
15000,0.001733065
20000,0.002349377
25000,0.002788305
30000,0.003945827
35000,0.006019354
40000,0.008688927
45000,0.006133795
50000,0.005751133
100000,0.014681339
150000,0.026149988
200000,0.027339697
250000,0.044658422
300000,0.044137716
350000,0.052094460
400000,0.061455250
450000,0.089920282
500000,0.076390266
1000000,0.221369505
