Size,Time
1,0.000000238
2,0.000000477
3,0.000000477
4,0.000000477
5,0.000000238
10,0.000000477
15,0.000000715
20,0.000000954
25,0.000000715
30,0.000001669
35,0.000001192
40,0.000001192
45,0.000001669
50,0.000001192
100,0.000002384
150,0.000002146
200,0.000003338
250,0.000005960
300,0.000008583
350,0.000010490
400,0.000012159
450,0.000008345
500,0.000016928
1000,0.000020981
1500,0.000032663
2000,0.000054836
2500,0.000056267
3000,0.000066280
3500,0.000076532
4000,0.000084639
4500,0.000096321
5000,0.000103951
10000,0.000233650
15000,0.000327587
20000,0.000423670
25000,0.000560999
30000,0.000733137
35000,0.000785589
40000,0.001084328
45000,0.001036644
50000,0.001094818
100000,0.002344370
150000,0.003329277
200000,0.004537821
250000,0.005832911
300000,0.007222891
350000,0.007939816
400000,0.009048939
450000,0.010301828
500000,0.011198044
1000000,0.024125576
