Size,Time
1,0.000000954
2,0.000000477
3,0.000000477
4,0.000000477
5,0.000000715
6,0.000000715
7,0.000000954
8,0.000000715
9,0.000000954
10,0.000001192
20,0.000002384
30,0.000003338
40,0.000004292
50,0.000004768
60,0.000005960
70,0.000006437
80,0.000007868
90,0.000009775
100,0.000011206
200,0.000023127
300,0.000034571
400,0.000049114
500,0.000045061
600,0.000083685
700,0.000102043
800,0.000128984
900,0.000124454
1000,0.000098944
2000,0.000223398
3000,0.000324488
4000,0.000403643
5000,0.000514507
6000,0.000639439
7000,0.000739336
8000,0.001012802
9000,0.001253366
10000,0.001091957
20000,0.002383947
30000,0.003662348
40000,0.004678011
50000,0.005666256
60000,0.006867409
70000,0.008114576
80000,0.009558439
90000,0.010996342
100000,0.012077093
200000,0.026004076
300000,0.046529293
400000,0.066306829
500000,0.072917938
600000,0.111766815
700000,0.110645294
800000,0.112516165
900000,0.139130354
1000000,0.192651510
2000000,0.331861496
