Size,Time
1,0.000000477
2,0.000000477
3,0.000000238
4,0.000000238
5,0.000000715
6,0.000000477
7,0.000000477
8,0.000000477
9,0.000000477
10,0.000000477
20,0.000000715
30,0.000000954
40,0.000001192
50,0.000001669
60,0.000001907
70,0.000019073
80,0.000002146
90,0.000002384
100,0.000002861
200,0.000005484
300,0.000008583
400,0.000012875
500,0.000008583
600,0.000020266
700,0.000026703
800,0.000030279
900,0.000034571
1000,0.000019789
2000,0.000044823
3000,0.000067472
4000,0.000080347
5000,0.000113249
6000,0.000138521
7000,0.000227928
8000,0.000237703
9000,0.000350952
10000,0.000260592
20000,0.000434160
30000,0.000642538
40000,0.000840187
50000,0.001060724
60000,0.001284838
70000,0.001698494
80000,0.001686096
90000,0.001972675
100000,0.002188206
200000,0.004260778
300000,0.006846666
400000,0.008953094
500000,0.011431932
600000,0.013621330
700000,0.018284559
800000,0.017830133
900000,0.021457434
1000000,0.028663874
2000000,0.043655157
