Size,Time
1,0.000000238
2,0.000000477
3,0.000000477
4,0.000000477
5,0.000000954
6,0.000000715
7,0.000000715
8,0.000000715
9,0.000000715
10,0.000000954
20,0.000001907
30,0.000003099
40,0.000003576
50,0.000005245
60,0.000006199
70,0.000006437
80,0.000008106
90,0.000008583
100,0.000010729
200,0.000021696
300,0.000024796
400,0.000037432
500,0.000067949
600,0.000085592
700,0.000113964
800,0.000112295
900,0.000086784
1000,0.000109911
2000,0.000206709
3000,0.000356674
4000,0.000513554
5000,0.000603199
6000,0.000711441
7000,0.000838518
8000,0.000911236
9000,0.001066208
10000,0.001220703
20000,0.002274513
30000,0.004029751
40000,0.005674124
50000,0.008592129
60000,0.008076906
70000,0.008631945
80000,0.011050463
90000,0.012574673
100000,0.015469074
200000,0.028954506
300000,0.050185442
400000,0.067240477
500000,0.100349188
600000,0.098412275
700000,0.110908270
800000,0.128091335
900000,0.216877460
1000000,0.155300617
2000000,0.445145845
