Size,Time
1,0.000000238
2,0.000000238
3,0.000000238
4,0.000000238
5,0.000000477
6,0.000000477
7,0.000000238
8,0.000000715
9,0.000000477
10,0.000000477
20,0.000000715
30,0.000000954
40,0.000000954
50,0.000001669
60,0.000001907
70,0.000001907
80,0.000002384
90,0.000002623
100,0.000002623
200,0.000005007
300,0.000004768
400,0.000026941
500,0.000014782
600,0.000021458
700,0.000025511
800,0.000029087
900,0.000019789
1000,0.000022173
2000,0.000059843
3000,0.000069618
4000,0.000118732
5000,0.000118494
6000,0.000139713
7000,0.000164032
8000,0.000200510
9000,0.000189781
10000,0.000228405
20000,0.000464678
30000,0.000676870
40000,0.001230955
50000,0.001374006
60000,0.001432180
70000,0.001508474
80000,0.001776934
90000,0.002028465
100000,0.002243996
200000,0.004243612
300000,0.006913662
400000,0.009263992
500000,0.011977434
600000,0.014106274
700000,0.016268492
800000,0.017965078
900000,0.030255079
1000000,0.022181273
2000000,0.043799400
