Size,Time
1,0.000000477
2,0.000000238
3,0.000000477
4,0.000000477
5,0.000000715
6,0.000000954
7,0.000000715
8,0.000000715
9,0.000000954
10,0.000001192
20,0.000002146
30,0.000003576
40,0.000004292
50,0.000005484
60,0.000006437
70,0.000006437
80,0.000007391
90,0.000010252
100,0.000010729
200,0.000047445
300,0.000031710
400,0.000061989
500,0.000068188
600,0.000080824
700,0.000095129
800,0.000126123
900,0.000089407
1000,0.000103951
2000,0.000203133
3000,0.000311136
4000,0.000424147
5000,0.000547171
6000,0.000669479
7000,0.000769854
8000,0.000857353
9000,0.001113415
10000,0.001103163
20000,0.002287626
30000,0.003448248
40000,0.006411076
50000,0.005970478
60000,0.010114431
70000,0.009603500
80000,0.009818554
90000,0.012263775
100000,0.012484312
200000,0.033472538
300000,0.043736458
400000,0.069940567
500000,0.065541983
600000,0.092405319
700000,0.111356497
800000,0.135879755
900000,0.121297598
1000000,0.156155348
2000000,0.275645256
