Size,Time
1,0.000000715
2,0.000000238
3,0.000000238
4,0.000000238
5,0.000000238
6,0.000000477
7,0.000000477
8,0.000000477
9,0.000000477
10,0.000000477
20,0.000000715
30,0.000000954
40,0.000001431
50,0.000001669
60,0.000001907
70,0.000002384
80,0.000002384
90,0.000002861
100,0.000002623
200,0.000005484
300,0.000005007
400,0.000013113
500,0.000018120
600,0.000020027
700,0.000025272
800,0.000027657
900,0.000018835
1000,0.000021219
2000,0.000055313
3000,0.000068665
4000,0.000097513
5000,0.000112057
6000,0.000133514
7000,0.000161648
8000,0.000190973
9000,0.000215292
10000,0.000235558
20000,0.000437260
30000,0.000636816
40000,0.000864267
50000,0.001111269
60000,0.001289129
70000,0.001635075
80000,0.001787186
90000,0.001905441
100000,0.002225876
200000,0.004231215
300000,0.006438255
400000,0.008869886
500000,0.010529280
600000,0.013180494
700000,0.015575171
800000,0.018019676
900000,0.019486427
1000000,0.022048712
2000000,0.047522545
