Size,Time
1,0.000000238
2,0.000000715
3,0.000000715
4,0.000000715
5,0.000000715
6,0.000000715
7,0.000000954
8,0.000001192
9,0.000000715
10,0.000000954
20,0.000002146
30,0.000003099
40,0.000003338
50,0.000005007
60,0.000006199
70,0.000006437
80,0.000008821
90,0.000010490
100,0.000010967
200,0.000021935
300,0.000025749
400,0.000036001
500,0.000072718
600,0.000085115
700,0.000103712
800,0.000121355
900,0.000089407
1000,0.000138283
2000,0.000248194
3000,0.000345230
4000,0.000514746
5000,0.000591040
6000,0.000758171
7000,0.000924110
8000,0.001133919
9000,0.001084328
10000,0.001217127
20000,0.002501965
30000,0.003947258
40000,0.005372047
50000,0.007093191
60000,0.009073496
70000,0.010220289
80000,0.011154175
90000,0.012467146
100000,0.014389992
200000,0.028793573
300000,0.061361074
400000,0.060561657
500000,0.111536264
600000,0.101386309
700000,0.109086514
800000,0.131374598
900000,0.210821867
1000000,0.161489010
2000000,0.463956118
