Size,Time
1,0.000000238
2,0.000000477
3,0.000000477
4,0.000000477
5,0.000000715
6,0.000000477
7,0.000000715
8,0.000000477
9,0.000000477
10,0.000000477
20,0.000000715
30,0.000000954
40,0.000001192
50,0.000001669
60,0.000001669
70,0.000002146
80,0.000002623
90,0.000003099
100,0.000002384
200,0.000005245
300,0.000005007
400,0.000007153
500,0.000017405
600,0.000021458
700,0.000042677
800,0.000030756
900,0.000018835
1000,0.000039816
2000,0.000045061
3000,0.000069141
4000,0.000095129
5000,0.000117064
6000,0.000138521
7000,0.000202179
8000,0.000334978
9000,0.000214577
10000,0.000231504
20000,0.000482559
30000,0.000668764
40000,0.000936508
50000,0.001315355
60000,0.001399755
70000,0.001556396
80000,0.001843214
90000,0.002008200
100000,0.002279520
200000,0.004470110
300000,0.007102013
400000,0.011285782
500000,0.011777163
600000,0.021040201
700000,0.016188383
800000,0.026748896
900000,0.020310402
1000000,0.023342609
2000000,0.045766354
