Size,Time
1,0.000000715
2,0.000000715
3,0.000000477
4,0.000000477
5,0.000000477
10,0.000000954
15,0.000001669
20,0.000002146
25,0.000002384
30,0.000003576
35,0.000003576
40,0.000003815
45,0.000004292
50,0.000005484
100,0.000007629
150,0.000012636
200,0.000016928
250,0.000029802
300,0.000038147
350,0.000044584
400,0.000050783
450,0.000041485
500,0.000045300
1000,0.000129938
1500,0.000149012
2000,0.000221729
2500,0.000256777
3000,0.000449419
3500,0.000412703
4000,0.000429153
4500,0.000460386
5000,0.000529289
10000,0.001105070
15000,0.001711130
20000,0.002311707
25000,0.002869844
30000,0.003424168
35000,0.004592180
40000,0.007010221
45000,0.006040812
50000,0.005862951
100000,0.015168190
150000,0.024108410
200000,0.029988766
250000,0.037935972
300000,0.051205873
350000,0.054459095
400000,0.064495802
450000,0.076944828
500000,0.083582878
1000000,0.148949385
