Size,Time
1,0.000000238
2,0.000000238
3,0.000000238
4,0.000000477
5,0.000000238
10,0.000000477
15,0.000000477
20,0.000000715
25,0.000000954
30,0.000001192
35,0.000001192
40,0.000001669
45,0.000001669
50,0.000001669
100,0.000001669
150,0.000002623
200,0.000003099
250,0.000006676
300,0.000008583
350,0.000010729
400,0.000012636
450,0.000008583
500,0.000009775
1000,0.000021935
1500,0.000051260
2000,0.000043869
2500,0.000055790
3000,0.000127554
3500,0.000078678
4000,0.000088453
4500,0.000101566
5000,0.000113010
10000,0.000228405
15000,0.000330687
20000,0.000479698
25000,0.000598907
30000,0.000746250
35000,0.000980377
40000,0.000985861
45000,0.001126051
50000,0.001196623
100000,0.002690792
150000,0.004123688
200000,0.005250931
250000,0.006656885
300000,0.010525227
350000,0.009366512
400000,0.010498047
450000,0.012578487
500000,0.014368773
1000000,0.025626421
