Size,Time
1,0.000000477
2,0.000000477
3,0.000000238
4,0.000000477
5,0.000000715
10,0.000000954
15,0.000001431
20,0.000001669
25,0.000002623
30,0.000003338
35,0.000003576
40,0.000004530
45,0.000005007
50,0.000005007
100,0.000010729
150,0.000013113
200,0.000019073
250,0.000031948
300,0.000039577
350,0.000049591
400,0.000056744
450,0.000044346
500,0.000050068
1000,0.000101805
1500,0.000171900
2000,0.000283480
2500,0.000277758
3000,0.000331640
3500,0.000477552
4000,0.000646591
4500,0.000604391
5000,0.000583172
10000,0.001203060
15000,0.001947165
20000,0.002465010
25000,0.003371477
30000,0.003822565
35000,0.004520893
40000,0.007297516
45000,0.006775141
50000,0.007267237
100000,0.028423548
150000,0.031443596
200000,0.037181616
250000,0.060265064
300000,0.091375589
350000,0.098515034
400000,0.120149851
450000,0.136376381
500000,0.161562443
1000000,0.309529781
